year	doy	hour	solar	netsolar	dw_solar	up_solar	temp	rh	windspeed	precip	day_length
2002	152	9	1391.04	499.775	667.105	147.095	27.115	0.6561	5.805	0	14.379206554031
2002	152	10	1889.519	704.645	925.235	191.56	28.41	0.583	7.045	0	14.3792068482651
2002	152	11	1952.079	736.39	964.265	195.915	29.43	0.52045	6.68	0	14.3792065408378
2002	152	12	1878.295	701.3	921.145	191.02	30.25	0.5	6.5	0	14.3792067092653
2002	152	13	1739.95	639.065	848.375	186.595	30.63	0.4698	7.5	0	14.3792066153918
2002	152	14	1502.176	542.115	723.745	168.54	30.915	0.49275	7.155	0	14.3792065000711
2002	152	15	912.525	318.68	428.22	104.26	32.295	0.465	9.1	0	14.3792065142471
2002	152	16	644.276	220.565	296.54	78.975	32.345	0.46845	9.11	0	14.379206513022
2002	152	17	448.845	153.605	207.855	60.965	32.16	0.48045	9.055	0	14.3792064525191
2002	152	18	136.689	46.275	58.515	18.565	31.015	0.53595	7.595	0	14.3792064997136
2002	152	19	7.958	2.565	1.015	0.97	29.225	0.6136	4.59	0	14.3887231835236
2002	152	20	0	0	0	0	27.8	0.67535	3.895	0	14.4077911190362
2002	152	21	0	0	0	0	26.96	0.69595	3.79	0	14.408567688201
2002	152	22	0.023	0	0	0	25.83	0.73705	3.015	0	14.4087230235983
2002	152	23	0	0	0	0	24.83	0.7668	3.145	0	14.4088860541707
2002	153	0	0	0	0	0	24.375	0.777	3.8	0	14.4090561542831
2002	153	1	0	0	0	0	23.875	0.80035	3.875	0	14.4092221891017
2002	153	2	0	0	0	0	23.745	0.81405	3.375	0	14.4093728657686
2002	153	3	0.138	0	0	0.095	22.685	0.8533	3.275	0	14.4095000085505
2002	153	4	11.638	4.165	2.705	2	20.555	0.7572	3.995	0	14.4101377716289
2002	153	5	135.355	47.42	60.395	15.63	19.22	0.67585	3.35	0	14.4232623600737
2002	153	6	242.972	81.6	107.21	26.51	20.27	0.6431	4.89	0	14.4216071407885
2002	153	7	246.652	78.975	102.715	24.77	20.62	0.6593	5.28	0	14.4215700981723
2002	153	8	677.534	225.04	306.78	74.015	21.605	0.6414	5.635	0	14.4215695533473
2002	153	9	1020.464	345.27	475.8	112.87	23.165	0.55205	5.1	0	14.4215696534354
2002	153	10	1206.741	405.625	562.215	132.935	24.64	0.50665	6.23	0	14.4215700435925
2002	153	11	1100.734	371.355	509.27	119.605	25.85	0.50815	4.405	0	14.4215695805112
2002	153	12	788.371	262.5	355.18	82.59	26.45	0.49315	2.315	0	14.4215696748847
2002	153	13	957.95	323.87	442.84	104.95	26.925	0.4564	4.105	0	14.4215699721435
2002	153	14	933.846	321.145	436.27	104.215	27.67	0.4272	4.435	0	14.4215695730792
2002	153	15	945.139	331.495	443.575	107.67	28.855	0.36945	2.525	0	14.4215695968126
2002	153	16	524.009	180.235	236.64	57.71	29.345	0.36005	2.54	0	14.4215695870961
2002	153	17	477.664	167.2	221.74	62.795	29.77	0.35525	2.3	0	14.4215695539895
2002	153	18	123.004	43.66	53.935	16.865	28.72	0.40335	4.445	0	14.4215694920401
2002	153	19	3.703	1.17	0.03	0.41	25.935	0.48935	5.255	0	14.4281753988233
2002	153	20	0	0	0	0.02	24.76	0.5033	5.54	0	14.4422713204655
2002	153	21	0	0	0	0	23.72	0.5191	5.76	0	14.4429038323332
2002	153	22	0	0	0	0	22.995	0.55025	5.835	0	14.4430560788944
2002	153	23	0	0	0	0.015	22.035	0.6238	5.195	0	14.4432182404366
2002	154	0	0	0	0	0	21.295	0.6521	4.88	0	14.4433878633001
2002	154	1	0	0	0	0	20.68	0.7041	4.255	0	14.4435532411315
2002	154	2	0	0	0	0	20.615	0.7843	4.53	0	14.4437045325707
2002	154	3	0	0.01	0	0	20.23	0.8438	3.405	0	14.4438294436202
2002	154	4	9.867	3.465	1.27	0.48	20.195	0.8777	3.275	0	14.4442621723633
2002	154	5	144.417	49.72	61.675	16.905	20.8	0.89485	3.41	0	14.4552457422479
